Table Name : match_events;;;;;
Column;Type;_is_key;Type_key;comments;source
event_id;int;yes ;PK;;mominullptr
match_id;int;yes ;FK;reference matches;mominullptr
minute;string;;;;mominullptr
event_type;string;;;;mominullptr
team_id;int;yes ;FK;reference teams;mominullptr
player_id;int;yes ;FK;reference players;mominullptr
_rescued_data;string;;;technical column;dlt
_source_file;string;;;technical column;dlt
_ingested_at;timestamp;;;technical column;dlt
_file_size_MB;int;;;technical column;dlt
_source_repo;string;;;technical column;dlt
;;;;;
;;;;;
Table Name : match_lineups;;;;;
Column;Type;_is_key;Type_key;comments;source
lineup_id;int;yes ;PK;;mominullptr
match_id;int;yes ;FK;reference matches;mominullptr
player_id;int;yes ;FK;reference players;mominullptr
team_id;int;yes ;FK;reference teams;mominullptr
is_starting_xi;int;;;;mominullptr
tactical_position;string;;;;mominullptr
minutes_played;int;;;;mominullptr
_rescued_data;string;;;technical column;dlt
_source_file;string;;;technical column;dlt
_ingested_at;timestamp;;;technical column;dlt
_file_size_MB;int;;;technical column;dlt
_source_repo;string;;;technical column;dlt
;;;;;
;;;;;
Table Name : match_lineups;;;;;
Column;Type;_is_key;Type_key;comments;source
match_id;int;yes ;PK;;mominullptr
date;date;;;;mominullptr
kickoff_time_utc;timestamp;;;;mominullptr
stage_id;int;yes ;FK;reference tournament_stages;mominullptr
is_knockout;int;;;;mominullptr
home_team_id;int;yes;FK;reference teams;mominullptr
home_team_name;string;;;;mominullptr
home_fifa_code;string;;;;mominullptr
home_confederation;string;;;;mominullptr
away_team_id;int;yes ;FK;reference teams;mominullptr
away_team_name;string;;;;mominullptr
away_fifa_code;string;;;;mominullptr
away_confederation;string;;;;mominullptr
venue_id;int;yes ;FK;reference venues;mominullptr
stadium_name;string;;;;mominullptr
venue_city;string;;;;mominullptr
venue_country;string;;;;mominullptr
venue_capacity;int;;;;mominullptr
venue_elevation_meters;double;;;;mominullptr
referee_id;int;yes ;FK;reference referees;mominullptr
referee_name;string;;;;mominullptr
referee_avg_cards;double;;;;mominullptr
home_fifa_rank;int;;;;mominullptr
away_fifa_rank;int;;;;mominullptr
home_elo;double;;;;mominullptr
away_elo;double;;;;mominullptr
home_is_host;int;;;;mominullptr
away_is_host;int;;;;mominullptr
home_squad_avg_age;double;;;;mominullptr
away_squad_avg_age;double;;;;mominullptr
home_squad_total_caps;int;;;;mominullptr
away_squad_total_caps;int;;;;mominullptr
home_squad_total_value_eur;double;;;;mominullptr
away_squad_total_value_eur;double;;;;mominullptr
home_squad_avg_value_eur;double;;;;mominullptr
away_squad_avg_value_eur;double;;;;mominullptr
home_rest_days;double;;;;mominullptr
away_rest_days;double;;;;mominullptr
home_prev_avg_goals_scored;double;;;;mominullptr
home_prev_avg_goals_conceded;double;;;;mominullptr
away_prev_avg_goals_scored;double;;;;mominullptr
away_prev_avg_goals_conceded;double;;;;mominullptr
home_prev_avg_possession;double;;;;mominullptr
away_prev_avg_possession;double;;;;mominullptr
home_prev_avg_shots;double;;;;mominullptr
away_prev_avg_shots;double;;;;mominullptr
home_prev_avg_shots_on_target;double;;;;mominullptr
away_prev_avg_shots_on_target;double;;;;mominullptr
home_prev_avg_saves;double;;;;mominullptr
away_prev_avg_saves;double;;;;mominullptr
home_prev_avg_corners;double;;;;mominullptr
away_prev_avg_corners;double;;;;mominullptr
home_prev_avg_fouls;double;;;;mominullptr
away_prev_avg_fouls;double;;;;mominullptr
home_prev_avg_offsides;double;;;;mominullptr
away_prev_avg_offsides;double;;;;mominullptr
home_prev_avg_xg_scored;double;;;;mominullptr
